Place_Name,Coordinates,Latitude,Longitude
Gesten,"55.5349225,9.1146871",55.5349225,9.1146871
Sørup ,"56.8889151,9.7774223",56.8889151,9.7774223
Klæstrup,"57.2818851,10.0449873",57.2818851,10.0449873
Lundergård,"57.4641206,9.9618403",57.4641206,9.9618403
Overgård_i_Krejbjerg_Salling,"56.6553361,8.8531333",56.6553361,8.8531333
Aalborg,"57.0267285,9.7429701",57.0267285,9.7429701
Vester_Jølby,"56.8265941,8.6400113",56.8265941,8.6400113
Stagstrup,"56.8727561,8.5768742",56.8727561,8.5768742
Bramelshus,"55.8173213,9.180477",55.8173213,9.180477
Højen,"55.6567231,9.4912973",55.6567231,9.4912973
Østerby,"57.0572081,9.5989943",57.0572081,9.5989943
Fredsø,"56.7678461,8.7781723",56.7678461,8.7781723
Villerslev,"56.8195261,8.4775913",56.8195261,8.4775913
Ulsted,"57.0763751,10.2454684",57.0763751,10.2454684
Vester_Hassing,"57.0682891,10.1152503",57.0682891,10.1152503
Tastum,"56.5030041,9.0461372",56.5030041,9.0461372
Jerup,"57.531589,10.3299409",57.531589,10.3299409
Vester_Brønderslev,"57.2732509,9.7554291",57.2732509,9.7554291
Viborg,"56.4354033,9.1442286",56.4354033,9.1442286
Øster_Hassing,"57.0699851,10.1877872",57.0699851,10.1877872
Torp,"55.5639361,9.6462633",55.5639361,9.6462633
Vrove,"56.3125751,9.0300263",56.3125751,9.0300263
Skive,"56.5271825,8.8051512",56.5271825,8.8051512
Dueholms,"56.7946524,8.850641",56.7946524,8.850641
Nykøbing,"56.7916781,8.8576902",56.7916781,8.8576902
Gøl,"57.0686481,9.7064913",57.0686481,9.7064913
Læsø,"57.2720489,10.8644065",57.2720489,10.8644065
Ørum_by,"56.4807211,9.6136803",56.4807211,9.6136803
Fjends_herred,"56.4879711,9.1487452",56.4879711,9.1487452
Sæby,"57.2857821,10.2796411",57.2857821,10.2796411
Ydby,"56.7090771,8.4006973",56.7090771,8.4006973
Madsted,"56.8594248,8.3857836",56.8594248,8.3857836
Øster_Assels,"56.7029718,8.6171401",56.7029718,8.6171401
Favrholt,"56.1807747,9.1120245",56.1807747,9.1120245
Gersbøl,"55.4399673,8.8473096",55.4399673,8.8473096
Estrup,"56.4347148,10.3412073",56.4347148,10.3412073
Skovsgård,"57.0868078,9.4641836",57.0868078,9.4641836
Trankær,"54.7336127,9.8059302",54.7336127,9.8059302
Hundborg,"56.9268958,8.4873216",56.9268958,8.4873216
Løvel,"56.5345578,9.4496394",56.5345578,9.4496394
Lindum,"56.5608488,9.6623366",56.5608488,9.6623366
Malle,"56.9157948,9.2165746",56.9157948,9.2165746
Pederstrup,"56.3355498,10.6525456",56.3355498,10.6525456
Korsgård,"55.7316311,9.5575267",55.7316311,9.5575267
Mammen,"56.4099848,9.5935406",56.4099848,9.5935406
Hvolgård,"55.827418,9.5117887",55.827418,9.5117887
Skyum,"56.8365708,8.5564576",56.8365708,8.5564576
Odby,"56.6079978,8.5079526",56.6079978,8.5079526
Nørøkse,"55.7923974,9.1575707",55.7923974,9.1575707
Serup,"56.2441278,9.4690966",56.2441278,9.4690966
Vejby,"56.6059078,8.7883426",56.6059078,8.7883426
Sakstrup,"57.5039708,10.0099915",57.5039708,10.0099915
Mygdal,"57.5391668,10.0828059",57.5391668,10.0828059
Krustrup,"57.477027,9.9233769",57.477027,9.9233769
Havskov,"56.0932394,9.8227809",56.0932394,9.8227809
Albæk,"56.4826298,10.1380176",56.4826298,10.1380176
Hørby,"57.3236858,10.3621397",57.3236858,10.3621397
Hals,"57.0481432,10.2131688",57.0481432,10.2131688
Hvorup,"57.0912198,9.9059987",57.0912198,9.9059987
Randrup,"56.7419148,8.3048636",56.7419148,8.3048636
Vojel_på_Furland,"56.826437,9.0469337",56.826437,9.0469337
Fur,"56.8213267,8.9345053",56.8213267,8.9345053
Melholt,"57.1043368,10.3436936",57.1043368,10.3436936
Vejbyvad,"56.6038281,8.8077768",56.6038281,8.8077768
Skærum,"57.4353178,10.3113305",57.4353178,10.3113305
Thise,"56.7036468,9.1062686",56.7036468,9.1062686
Flade,"56.8891078,8.7719755",56.8891078,8.7719755
Egebjerg,"55.9049788,9.8161346",55.9049788,9.8161346
Kragkær,"57.47374,10.0545977",57.47374,10.0545977
Ravnstrup,"56.4476898,9.2659056",56.4476898,9.2659056
Sønder_Feldingbjerg,"56.4961888,9.0886636",56.4961888,9.0886636
Sønder_Ørum,"56.5582258,9.1966577",56.5582258,9.1966577
Gåser,"57.0129608,10.1601966",57.0129608,10.1601966
Sejerslev_Mors,"56.9235908,8.8453326",56.9235908,8.8453326
Hassing,"56.8241668,8.4309206",56.8241668,8.4309206
Vester_Hvidbjerg,"56.7456878,8.5737586",56.7456878,8.5737586
Brasted,"56.8927918,9.6639546",56.8927918,9.6639546
